full_test,params,train_data_set,psearch,test_mean,gd_type,reach_dist,emb_dim,num_bases,lr,num_workers,val_mean,val_std,val_method,JK,dropout,l2,gd_deg,fold,eval_batch_size,batch_size,exp_dir,neg_sample,num_epochs,full_val,mol_emb_dim,metric,test_std,num_layers,data_path
"{'val_loss': 0.08304055035114288, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7401685393258427, 'h3': 0.5140449438202247, 'h1': 0.37008426966292135, 'mrr': 0.4854597786344772}","[['num_layers', 3]]",fb237_v4,True,0.7401685393258427,HorGD,3,32,4.0,0.0001,20,0.739406779661017,0.0,ind,last,0,0,False,10,64,64,./saved_exp/2023-10-26 13:18:06.032854,50.0,100,"{'val_loss': 0.08329271525144577, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.739406779661017, 'h3': 0.5112994350282486, 'h1': 0.3651129943502825, 'mrr': 0.4807977216266514}",32,h10,0.0,2,./data
"{'val_loss': 0.09347014874219894, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7491329479768786, 'h3': 0.4867052023121387, 'h1': 0.3109826589595376, 'mrr': 0.4466913440148287}","[['num_layers', 3]]",fb237_v3,True,0.7491329479768786,HorGD,3,32,4.0,0.0001,20,0.6974595842956121,0.0,ind,last,0,0,False,10,64,64,./saved_exp/2023-10-26 13:00:48.352848,50.0,100,"{'val_loss': 0.0942409411072731, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.6974595842956121, 'h3': 0.4676674364896074, 'h1': 0.2748267898383372, 'mrr': 0.41285847184403285}",32,h10,0.0,2,./data
"{'val_loss': 0.09274973720312119, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7109826589595376, 'h3': 0.4982658959537572, 'h1': 0.3838150289017341, 'mrr': 0.48248648140611095}","[['num_layers', 3]]",fb237_v3,True,0.7109826589595376,VerGD,3,32,4.0,0.0001,20,0.6766743648960739,0.0,ind,last,0,0,False,10,64,64,./saved_exp/2023-10-26 15:51:24.168272,50.0,100,"{'val_loss': 0.0948697105050087, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.6766743648960739, 'h3': 0.45496535796766746, 'h1': 0.33140877598152424, 'mrr': 0.43790555289659827}",32,h10,0.0,2,./data
"{'val_loss': 0.08108461648225784, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7148876404494382, 'h3': 0.5056179775280899, 'h1': 0.35463483146067415, 'mrr': 0.47001402803905085}","[['num_layers', 5]]",fb237_v4,True,0.7148876404494382,VerGD,3,32,4.0,0.0001,20,0.7040960451977402,0.0,ind,last,0,0,False,10,64,64,./saved_exp/2023-10-26 13:00:48.391720,50.0,100,"{'val_loss': 0.08110279589891434, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7040960451977402, 'h3': 0.5035310734463276, 'h1': 0.3721751412429379, 'mrr': 0.4777722307693906}",32,h10,0.0,2,./data
"{'val_loss': 0.10592170804738998, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.6634146341463415, 'h3': 0.45365853658536587, 'h1': 0.32682926829268294, 'mrr': 0.43218734566155725}","[['num_layers', 3]]",fb237_v1,True,0.6634146341463415,VerGD,3,32,4.0,0.0001,20,0.6893203883495146,0.0,ind,last,0,0,False,10,64,64,./saved_exp/2023-10-26 12:06:09.919638,50.0,100,"{'val_loss': 0.10701986402273178, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.6893203883495146, 'h3': 0.49029126213592233, 'h1': 0.3640776699029126, 'mrr': 0.4682206334347429}",32,h10,0.0,2,./data
"{'val_loss': 0.09323754161596298, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7761506276150628, 'h3': 0.5439330543933054, 'h1': 0.3514644351464435, 'mrr': 0.48786859379846137}","[['num_layers', 3]]",fb237_v2,True,0.7761506276150628,HorGD,3,32,4.0,0.0001,20,0.7633262260127932,0.0,ind,last,0,0,False,10,64,64,./saved_exp/2023-10-26 12:59:11.397843,50.0,100,"{'val_loss': 0.09370945394039154, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7633262260127932, 'h3': 0.5159914712153518, 'h1': 0.302771855010661, 'mrr': 0.451188668450288}",32,h10,0.0,2,./data
"{'val_loss': 0.09273179620504379, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7109826589595376, 'h3': 0.4982658959537572, 'h1': 0.3838150289017341, 'mrr': 0.48247255733090577}","[['num_layers', 3]]",fb237_v3,True,0.7109826589595376,VerGD,3,32,4.0,0.0001,20,0.6766743648960739,0.0,ind,last,0,0,False,10,64,64,./saved_exp/2023-10-26 13:00:48.502452,50.0,100,"{'val_loss': 0.09485107660293579, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.6766743648960739, 'h3': 0.45496535796766746, 'h1': 0.33140877598152424, 'mrr': 0.4376839507124338}",32,h10,0.0,2,./data
"{'val_loss': 0.13251495361328125, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.6439024390243903, 'h3': 0.35609756097560974, 'h1': 0.09268292682926829, 'mrr': 0.27504557260729723}","[['num_layers', 3]]",fb237_v1,True,0.6439024390243903,HorGD,3,32,4.0,0.0001,20,0.6747572815533981,0.0,ind,last,0,0,False,10,64,64,./saved_exp/2023-10-26 12:06:09.918061,50.0,100,"{'val_loss': 0.13342727720737457, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.6747572815533981, 'h3': 0.39805825242718446, 'h1': 0.15048543689320387, 'mrr': 0.3263846943606313}",32,h10,0.0,2,./data
"{'val_loss': 0.11309988796710968, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7677824267782427, 'h3': 0.5502092050209205, 'h1': 0.35355648535564854, 'mrr': 0.4875580694137201}","[['num_layers', 3]]",fb237_v2,True,0.7677824267782427,VerGD,3,32,4.0,0.0001,20,0.7633262260127932,0.0,ind,last,0,0,False,10,64,64,./saved_exp/2023-10-26 12:59:11.417015,50.0,100,"{'val_loss': 0.11329886317253113, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7633262260127932, 'h3': 0.5223880597014925, 'h1': 0.34328358208955223, 'mrr': 0.47547241754710556}",32,h10,0.0,2,./data
"{'val_loss': 0.09346450865268707, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7479768786127168, 'h3': 0.4867052023121387, 'h1': 0.30982658959537573, 'mrr': 0.4461468400847502}","[['num_layers', 3]]",fb237_v3,True,0.7479768786127168,HorGD,3,32,4.0,0.0001,20,0.6963048498845266,0.0,ind,last,0,0,False,10,64,64,./saved_exp/2023-10-26 15:51:24.127344,50.0,100,"{'val_loss': 0.09423649311065674, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.6963048498845266, 'h3': 0.46882217090069284, 'h1': 0.2748267898383372, 'mrr': 0.41286828941745335}",32,h10,0.0,2,./data
